Marijuana,Heart
Marijuana,Brain
Marijuana,Respiratory system
Marijuana,Sensory perception
Marijuana,Psychosis
Meth,Heart
Meth,Psychosis
Meth,Seizures
Meth,Kidney
Meth,Eyes
Meth,Liver
Cocaine,Heart
Cocaine,Psychosis
Cocaine,Seizures
Cocaine,Respiratory system
Cocaine,Brain
Cocaine,Lungs
Hashish,Heart
Hashish,Brain
Hashish,Respiratory system
Hashish,Sensory perception
Opium,Nausea
Opium,Brain
Opium,Heart
Opium,HIV
Opium,Liver
LSD,Heart
LSD,Sensory perception
LSD,Muscular system
LSD,Nausea
LSD,Eyes
Heroin,Nausea
Heroin,Brain
Heroin,Heart
Heroin,HIV
Heroin,Liver
Heroin,Respiratory system
Inhalants,Muscular system
Inhalants,Brain
Inhalants,Heart
Inhalants,Nausea
Inhalants,Kidney
Alcohol,CNS
Alcohol,Heart
Alcohol,Lungs
Alcohol,Muscular system
Alcohol,Kidney
Alcohol,Reproductive system
Amphetamine,CNS
Amphetamine,Respiratory system
Amphetamine,Muscular system
Amphetamine,Heart
MDMA,Muscular system
MDMA,Brain
MDMA,Eyes
MDMA,Heart
MDMA,Kidney
Petrol,CNS
Petrol,Heart
Petrol,Liver
Petrol,Kidney
Petrol,Respiratory system
Petrol,Reproductive system
Nicotine,CNS
Nicotine,Heart
Nicotine,Lungs
Nicotine,Muscular system
Nicotine,Kidney
Nicotine,Reproductive system
Rohypnol,Respiratory system
Rohypnol,Muscular system
Rohypnol,Sensory perception
Rohypnol,Seizures
Rohypnol,Nausea
Kava,Eyes
Kava,Respiratory system
Kava,Liver
Kava,Kidney
Kava,CNS
Kava,Nausea
Kava,Muscular system
Oxycodone,CNS
Oxycodone,Eyes
Oxycodone,Heart
Oxycodone,Nausea
Oxycodone,Respiratory system
